ACTUAL,pr_out1,pr_out2,pr_out3,pr_out4,pr_out5,pr_out6,pr_out7,pr_out8,pr_out9,pr_out10,average output,error,% error
80,82,82,83,82,82,83,83,83,82,83,82.5,0.03125,3.125
86,89,88,88,88,88,88,89,89,88,89,88.4,0.027906977,2.790697674
88,84,84,84,84,84,84,84,84,84,84,84,0.045454545,4.545454545
88,74,74,73,75,74,74,74,74,75,74,74.1,0.157954545,15.79545455
88,83,83,83,83,83,83,83,83,83,83,83,0.056818182,5.681818182
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
90,86,86,86,86,85,86,86,86,86,88,86.1,0.043333333,4.333333333
90,82,82,84,84,84,82,84,84,84,84,83.4,0.073333333,7.333333333
90,78,78,78,78,78,78,78,78,78,78,78,0.133333333,13.33333333
90,71,71,71,71,71,71,71,71,71,71,71,0.211111111,21.11111111
86,73,72,73,72,72,73,72,72,73,79,73.1,0.15,15
81,71,71,71,71,71,71,71,71,71,71,71,0.12345679,12.34567901
82,80,89,80,86,86,80,86,89,86,89,85.1,0.037804878,3.780487805
81,74,74,80,80,74,81,74,74,81,74,76.6,0.054320988,5.432098765
83,82,85,82,82,82,82,82,82,82,82,82.3,0.008433735,0.843373494
84,84,84,84,84,84,84,84,84,84,84,84,0,0
86,78,80,80,80,80,78,80,80,80,80,79.6,0.074418605,7.441860465
86,82,82,82,82,82,82,82,82,82,82,82,0.046511628,4.651162791
84,74,74,74,74,74,74,74,74,74,74,74,0.119047619,11.9047619
